Date,Price
06/12/2006,1799.130005
07/12/2006,1777.459961
08/12/2006,1786.209961
11/12/2006,1791.73999
12/12/2006,1781.969971
13/12/2006,1783.439941
14/12/2006,1803.410034
15/12/2006,1808.560059
18/12/2006,1790.98999
19/12/2006,1785.119995
20/12/2006,1777.920044
21/12/2006,1766.280029
22/12/2006,1748.609985
26/12/2006,1753.550049
27/12/2006,1763.410034
28/12/2006,1758.939941
29/12/2006,1756.900024
03/01/2007,1759.369995
04/01/2007,1792.910034
05/01/2007,1785.300049
08/01/2007,1787.140015
09/01/2007,1795.630005
10/01/2007,1816.150024
11/01/2007,1834.859985
12/01/2007,1844.810059
16/01/2007,1842.439941
17/01/2007,1827.680054
18/01/2007,1793.680054
19/01/2007,1796.810059
22/01/2007,1779.02002
23/01/2007,1773.400024
24/01/2007,1802.630005
25/01/2007,1777.75
26/01/2007,1772.969971
29/01/2007,1775.079956
30/01/2007,1777.76001
31/01/2007,1792.280029
01/02/2007,1791.449951
02/02/2007,1798.130005
05/02/2007,1795.390015
06/02/2007,1793.060059
07/02/2007,1810.949951
08/02/2007,1810.540039
09/02/2007,1785.530029
12/02/2007,1778.420044
13/02/2007,1783.819946
14/02/2007,1814.97998
15/02/2007,1823.410034
16/02/2007,1821.48999
20/02/2007,1833.709961
21/02/2007,1839.130005
22/02/2007,1846.339966
23/02/2007,1839.77002
26/02/2007,1830.589966
27/02/2007,1756.27002
28/02/2007,1761.599976
01/03/2007,1753.449951
02/03/2007,1726.030029
05/03/2007,1712.939941
06/03/2007,1743.099976
07/03/2007,1736.099976
08/03/2007,1746.430054
09/03/2007,1744.73999
12/03/2007,1756.420044
13/03/2007,1722.47998
14/03/2007,1743.150024
15/03/2007,1744.869995
16/03/2007,1742.22998
19/03/2007,1758.22998
20/03/2007,1767.25
21/03/2007,1806.349976
22/03/2007,1799.75
23/03/2007,1794.040039
26/03/2007,1802.949951
27/03/2007,1789.930054
28/03/2007,1770.540039
29/03/2007,1771.719971
30/03/2007,1772.359985
02/04/2007,1773.329956
03/04/2007,1796.310059
04/04/2007,1801.73999
05/04/2007,1812.939941
09/04/2007,1808.189941
10/04/2007,1816.930054
11/04/2007,1798.089966
12/04/2007,1813.48999
13/04/2007,1816.849976
16/04/2007,1833.959961
17/04/2007,1834.910034
18/04/2007,1832.390015
19/04/2007,1832.469971
20/04/2007,1845.890015
23/04/2007,1850.180054
24/04/2007,1858.869995
25/04/2007,1881.329956
26/04/2007,1889.569946
27/04/2007,1891.060059
30/04/2007,1867.75
01/05/2007,1873.430054
02/05/2007,1889.72998
03/05/2007,1895.640015
04/05/2007,1895.699951
07/05/2007,1895.959961
08/05/2007,1899.829956
09/05/2007,1905.650024
10/05/2007,1875.199951
11/05/2007,1898.790039
14/05/2007,1888.079956
15/05/2007,1871.790039
16/05/2007,1891.569946
17/05/2007,1884.680054
18/05/2007,1896.930054
21/05/2007,1911.160034
22/05/2007,1916.449951
23/05/2007,1904.410034
24/05/2007,1874.599976
25/05/2007,1889.25
29/05/2007,1899.790039
30/05/2007,1918.079956
31/05/2007,1928.189941
01/06/2007,1928.26001
04/06/2007,1933.72998
05/06/2007,1932.349976
06/06/2007,1914.849976
07/06/2007,1882.170044
08/06/2007,1906.26001
11/06/2007,1901.959961
12/06/2007,1890.670044
13/06/2007,1913.869995
14/06/2007,1924.540039
15/06/2007,1942.410034
18/06/2007,1944.369995
19/06/2007,1941.75
20/06/2007,1922.119995
21/06/2007,1941.319946
22/06/2007,1921.939941
25/06/2007,1912.900024
26/06/2007,1908.640015
27/06/2007,1933.060059
28/06/2007,1931.670044
29/06/2007,1934.099976
02/07/2007,1954.119995
03/07/2007,1965.199951
05/07/2007,1981.060059
06/07/2007,1988.310059
09/07/2007,1989.199951
10/07/2007,1971.890015
11/07/2007,1984.079956
12/07/2007,2021.030029
13/07/2007,2032.160034
16/07/2007,2028.02002
17/07/2007,2041.780029
18/07/2007,2037.97998
19/07/2007,2052.98999
20/07/2007,2035.880005
23/07/2007,2036.329956
24/07/2007,2000.550049
25/07/2007,2011.140015
26/07/2007,1986.599976
27/07/2007,1956.189941
30/07/2007,1973.930054
31/07/2007,1932.060059
01/08/2007,1945.079956
02/08/2007,1966.599976
03/08/2007,1918.560059
06/08/2007,1954.369995
07/08/2007,1961.640015
08/08/2007,1987.339966
09/08/2007,1936.76001
10/08/2007,1925.140015
13/08/2007,1934.410034
14/08/2007,1901.319946
15/08/2007,1864.920044
16/08/2007,1846.089966
17/08/2007,1888.780029
20/08/2007,1893.050049
21/08/2007,1910.98999
22/08/2007,1936.77002
23/08/2007,1931.880005
24/08/2007,1961.380005
27/08/2007,1947.48999
28/08/2007,1899.23999
29/08/2007,1954.849976
30/08/2007,1963.75
31/08/2007,1988.72998
04/09/2007,2020.51001
05/09/2007,1994.380005
06/09/2007,1998.670044
07/09/2007,1958.349976
10/09/2007,1960.199951
11/09/2007,1988.97998
12/09/2007,1988.959961
13/09/2007,1998.630005
14/09/2007,2000.819946
17/09/2007,1983.079956
18/09/2007,2035.369995
19/09/2007,2041.359985
20/09/2007,2032.609985
21/09/2007,2049.47998
24/09/2007,2057.25
25/09/2007,2076.830078
26/09/2007,2088.379883
27/09/2007,2096.389893
28/09/2007,2091.110107
01/10/2007,2116.969971
02/10/2007,2115.889893
03/10/2007,2103.01001
04/10/2007,2105.560059
05/10/2007,2149.669922
08/10/2007,2163.26001
09/10/2007,2171.209961
10/10/2007,2176.97998
11/10/2007,2140.919922
12/10/2007,2177.98999
15/10/2007,2158.919922
16/10/2007,2151.139893
17/10/2007,2179.139893
18/10/2007,2187.52002
19/10/2007,2131.080078
22/10/2007,2157.449951
23/10/2007,2205.179932
24/10/2007,2188.590088
25/10/2007,2161.52002
26/10/2007,2194.590088
29/10/2007,2203.419922
30/10/2007,2207.610107
31/10/2007,2238.97998
01/11/2007,2197.070068
02/11/2007,2213.860107
05/11/2007,2200.47998
06/11/2007,2223.969971
07/11/2007,2169.429932
08/11/2007,2106.159912
09/11/2007,2034.300049
12/11/2007,1982.160034
13/11/2007,2066.080078
14/11/2007,2038.050049
15/11/2007,2024.030029
16/11/2007,2048.620117
19/11/2007,2021.140015
20/11/2007,2029.939941
21/11/2007,2006.380005
23/11/2007,2028.900024
26/11/2007,1989.359985
27/11/2007,2033.76001
28/11/2007,2095.389893
29/11/2007,2102.419922
30/11/2007,2089.100098
03/12/2007,2067.449951
04/12/2007,2059.060059
05/12/2007,2099.310059
06/12/2007,2127.649902
07/12/2007,2130
10/12/2007,2134.879883
11/12/2007,2083.719971
12/12/2007,2101.360107
13/12/2007,2094.679932
14/12/2007,2072.110107
17/12/2007,2020.800049
18/12/2007,2029.48999
19/12/2007,2031
20/12/2007,2069.679932
21/12/2007,2111.77002
24/12/2007,2128.620117
26/12/2007,2136.939941
27/12/2007,2106.090088
28/12/2007,2107.050049
31/12/2007,2084.929932
02/01/2008,2049.709961
03/01/2008,2051.76001
04/01/2008,1963.52002
07/01/2008,1957.439941
08/01/2008,1910.329956
09/01/2008,1949.199951
10/01/2008,1953.640015
11/01/2008,1912.810059
14/01/2008,1949.150024
15/01/2008,1894.089966
16/01/2008,1872.290039
17/01/2008,1842.099976
18/01/2008,1844.089966
22/01/2008,1795.609985
23/01/2008,1789.530029
24/01/2008,1826.920044
25/01/2008,1789.170044
28/01/2008,1805.079956
29/01/2008,1807.670044
30/01/2008,1808.51001
31/01/2008,1841.420044
01/02/2008,1855.27002
04/02/2008,1828.800049
05/02/2008,1773.48999
06/02/2008,1740.949951
07/02/2008,1753.300049
08/02/2008,1773.73999
11/02/2008,1793.089966
12/02/2008,1780.540039
13/02/2008,1823
14/02/2008,1787.589966
15/02/2008,1780.380005
19/02/2008,1764.810059
20/02/2008,1787.449951
21/02/2008,1766.300049
22/02/2008,1773.439941
25/02/2008,1785.459961
26/02/2008,1791.310059
27/02/2008,1799.939941
28/02/2008,1794.459961
29/02/2008,1745.27002
03/03/2008,1733.27002
04/03/2008,1743.699951
